Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-02-15,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-02-15,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-02-15,1,1
usdot-fhwa-OPS,pcis-poc,2025-02-15,18,9
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-02-15,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-16,2,2
usdot-fhwa-OPS,pcis-poc,2025-02-16,7,5
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-02-17,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-17,4,4
usdot-fhwa-OPS,pcis-poc,2025-02-17,5,4
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-02-18,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-18,20,12
usdot-fhwa-OPS,pcis-poc,2025-02-18,46,14
usdot-fhwa-OPS,v2x-hub-ui,2025-02-18,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-19,23,8
usdot-fhwa-OPS,pcis-poc,2025-02-19,82,22
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-02-20,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-20,16,15
usdot-fhwa-OPS,pcis-poc,2025-02-20,30,15
usdot-fhwa-OPS,v2x-hub-ui,2025-02-20,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-02-21,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-21,7,7
usdot-fhwa-OPS,pcis-poc,2025-02-21,56,21
usdot-fhwa-OPS,v2x-hub-ui,2025-02-21,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-App,2025-02-22,1,1
usdot-fhwa-OPS,ITS-Secure-Prototype-Backend,2025-02-22,2,2
usdot-fhwa-OPS,ITS-Secure-Prototype-Frontend,2025-02-22,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-22,1,1
usdot-fhwa-OPS,pcis-poc,2025-02-22,6,4
usdot-fhwa-OPS,v2xhub-angular-ui-prototype,2025-02-22,1,1
usdot-fhwa-OPS,.github,2025-02-23,1,1
usdot-fhwa-OPS,ngx-traffic-cdk,2025-02-23,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-24,10,9
usdot-fhwa-OPS,pcis-poc,2025-02-24,27,13
usdot-fhwa-OPS,V2X-Hub,2025-02-25,14,12
usdot-fhwa-OPS,pcis-poc,2025-02-25,57,18
usdot-fhwa-OPS,v2x-hub-ui,2025-02-25,1,1
usdot-fhwa-OPS,V2X-Hub,2025-02-26,24,14
usdot-fhwa-OPS,pcis-poc,2025-02-26,3,3
usdot-fhwa-OPS,v2x-hub-ui,2025-02-26,2,2
usdot-fhwa-OPS,V2X-Hub,2025-02-27,58,22
usdot-fhwa-OPS,pcis-poc,2025-02-27,32,13
usdot-fhwa-OPS,V2X-Hub,2025-02-28,24,8
usdot-fhwa-OPS,pcis-poc,2025-02-28,48,19
