Org,Repo,Date,Clones count,Clones unique
usdot-fhwa-stol,carma-builds,2024-12-18,7,1
usdot-fhwa-stol,carma-cloud,2024-12-18,1,1
usdot-fhwa-stol,carma-time-lib,2024-12-18,1,1
usdot-fhwa-stol,devops,2024-12-18,2,1
usdot-fhwa-stol,v2x-ros-conversion,2024-12-18,1,1
usdot-fhwa-stol,carma-config,2024-12-19,2,1
usdot-fhwa-stol,carma-lightbar-driver,2024-12-19,1,1
usdot-fhwa-stol,cdasim,2024-12-19,3,2
usdot-fhwa-stol,connectedvcs-tools,2024-12-19,2,1
usdot-fhwa-stol,devops,2024-12-19,2,1
usdot-fhwa-stol,carma-config,2024-12-20,3,3
usdot-fhwa-stol,carma-delphi-srr2-driver,2024-12-20,1,1
usdot-fhwa-stol,carma-ssc-interface-wrapper,2024-12-20,1,1
usdot-fhwa-stol,carma-velodyne-lidar-driver,2024-12-20,1,1
usdot-fhwa-stol,cda1tenth-bringup,2024-12-20,4,3
usdot-fhwa-stol,connectedvcs-tools,2024-12-20,4,3
usdot-fhwa-stol,devops,2024-12-20,2,1
usdot-fhwa-stol,v2x-ros-conversion,2024-12-20,1,1
usdot-fhwa-stol,carma-config,2024-12-21,1,1
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2024-12-21,1,1
usdot-fhwa-stol,v2x-ros-conversion,2024-12-21,1,1
usdot-fhwa-stol,voices-poc,2024-12-21,1,1
usdot-fhwa-stol,carma-cadillac-srx-2013-controller-driver,2024-12-22,1,1
usdot-fhwa-stol,carma-cohda-dsrc-driver,2024-12-22,1,1
usdot-fhwa-stol,carma-freightliner-2012-controller-driver,2024-12-22,1,1
usdot-fhwa-stol,carma-msgs,2024-12-22,2,2
usdot-fhwa-stol,carma-novatel-oem7-driver-wrapper,2024-12-22,1,1
usdot-fhwa-stol,carma-time-lib,2024-12-22,1,1
usdot-fhwa-stol,carma-torc-xgv-controller-driver,2024-12-22,1,1
usdot-fhwa-stol,carma-utils,2024-12-22,2,2
usdot-fhwa-stol,carma-web-ui,2024-12-22,1,1
usdot-fhwa-stol,cda-telematics,2024-12-22,1,1
usdot-fhwa-stol,autoware.auto,2024-12-23,1,1
usdot-fhwa-stol,carma-base,2024-12-23,2,2
usdot-fhwa-stol,carma-cohda-dsrc-driver,2024-12-23,2,2
usdot-fhwa-stol,carma-config,2024-12-23,1,1
usdot-fhwa-stol,carma-delphi-esr-driver,2024-12-23,1,1
usdot-fhwa-stol,carma-delphi-srr2-driver,2024-12-23,1,1
usdot-fhwa-stol,carma-garmin-lidar-lite-v3-driver-wrapper,2024-12-23,1,1
usdot-fhwa-stol,carma-j2735,2024-12-23,13,2
usdot-fhwa-stol,carma-lightbar-driver,2024-12-23,1,1
usdot-fhwa-stol,carma-messenger,2024-12-23,2,2
usdot-fhwa-stol,carma-msgs,2024-12-23,13,9
usdot-fhwa-stol,carma-ns3-adapter,2024-12-23,4,3
usdot-fhwa-stol,carma-platform,2024-12-23,9,3
usdot-fhwa-stol,carma-ssc-interface-wrapper,2024-12-23,8,3
usdot-fhwa-stol,carma-utils,2024-12-23,12,8
usdot-fhwa-stol,carma-vehicle-model-framework,2024-12-23,1,1
usdot-fhwa-stol,carma-velodyne-lidar-driver,2024-12-23,1,1
usdot-fhwa-stol,carma-web-ui,2024-12-23,1,1
usdot-fhwa-stol,cdasim,2024-12-23,3,2
