Org,Repo,Date,Clones count,Clones unique
usdot-jpo-ode,TDx,2024-11-18,1,1
usdot-jpo-ode,asn1_codec,2024-11-18,9,2
usdot-jpo-ode,jpo-conflictmonitor,2024-11-18,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2024-11-18,1,1
usdot-jpo-ode,jpo-cvdp,2024-11-18,9,2
usdot-jpo-ode,jpo-cvmanager,2024-11-18,1,1
usdot-jpo-ode,jpo-geojsonconverter,2024-11-18,6,3
usdot-jpo-ode,jpo-ode,2024-11-18,1,1
usdot-jpo-ode,jpo-ode-scms-asn,2024-11-18,1,1
usdot-jpo-ode,jpo-record-parser,2024-11-18,1,1
usdot-jpo-ode,jpo-s3-deposit,2024-11-18,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-18,9,2
usdot-jpo-ode,jpo-security,2024-11-18,1,1
usdot-jpo-ode,jpo-security-svcs,2024-11-18,9,2
usdot-jpo-ode,jpo-tim-builder,2024-11-18,1,1
usdot-jpo-ode,jpo-utils,2024-11-18,13,3
usdot-jpo-ode,ode-output-validator-library,2024-11-18,9,2
usdot-jpo-ode,scms-asn1,2024-11-18,1,1
usdot-jpo-ode,usdot-jpo-ode.github.io,2024-11-18,1,1
usdot-jpo-ode,wzdc-tool,2024-11-18,1,1
usdot-jpo-ode,wzdx,2024-11-18,1,1
usdot-jpo-ode,TDx,2024-11-19,1,1
usdot-jpo-ode,asn1_codec,2024-11-19,3,2
usdot-jpo-ode,jpo-conflictmonitor,2024-11-19,8,1
usdot-jpo-ode,jpo-cvdp,2024-11-19,3,2
usdot-jpo-ode,jpo-geojsonconverter,2024-11-19,1,1
usdot-jpo-ode,jpo-ode,2024-11-19,1,1
usdot-jpo-ode,jpo-s3-deposit,2024-11-19,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-19,3,2
usdot-jpo-ode,jpo-security-svcs,2024-11-19,3,2
usdot-jpo-ode,jpo-utils,2024-11-19,8,1
usdot-jpo-ode,ode-output-validator-library,2024-11-19,3,2
usdot-jpo-ode,scms-asn1,2024-11-19,1,1
usdot-jpo-ode,asn1_codec,2024-11-20,14,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-20,5,2
usdot-jpo-ode,jpo-cvdp,2024-11-20,14,1
usdot-jpo-ode,jpo-geojsonconverter,2024-11-20,4,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-20,14,1
usdot-jpo-ode,jpo-security-svcs,2024-11-20,14,1
usdot-jpo-ode,jpo-utils,2024-11-20,20,1
usdot-jpo-ode,ode-output-validator-library,2024-11-20,14,1
usdot-jpo-ode,scms-asn1,2024-11-20,2,2
usdot-jpo-ode,asn1_codec,2024-11-21,18,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-21,1,1
usdot-jpo-ode,jpo-cvdp,2024-11-21,18,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-21,18,1
usdot-jpo-ode,jpo-security-svcs,2024-11-21,18,1
usdot-jpo-ode,jpo-utils,2024-11-21,18,1
usdot-jpo-ode,ode-output-validator-library,2024-11-21,18,1
usdot-jpo-ode,asn1_codec,2024-11-22,19,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-22,5,2
usdot-jpo-ode,jpo-conflictvisualizer,2024-11-22,3,1
usdot-jpo-ode,jpo-cvdp,2024-11-22,16,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-22,16,1
usdot-jpo-ode,jpo-security-svcs,2024-11-22,16,1
usdot-jpo-ode,jpo-utils,2024-11-22,22,1
usdot-jpo-ode,ode-output-validator-library,2024-11-22,16,1
usdot-jpo-ode,asn1_codec,2024-11-25,36,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-25,5,2
usdot-jpo-ode,jpo-conflictvisualizer,2024-11-25,8,2
usdot-jpo-ode,jpo-cvdp,2024-11-25,30,1
usdot-jpo-ode,jpo-geojsonconverter,2024-11-25,1,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-25,31,2
usdot-jpo-ode,jpo-security-svcs,2024-11-25,30,1
usdot-jpo-ode,jpo-utils,2024-11-25,41,3
usdot-jpo-ode,ode-output-validator-library,2024-11-25,30,1
usdot-jpo-ode,wzdx,2024-11-25,1,1
usdot-jpo-ode,asn1_codec,2024-11-26,60,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-26,47,8
usdot-jpo-ode,jpo-conflictvisualizer,2024-11-26,18,1
usdot-jpo-ode,jpo-cvdp,2024-11-26,45,1
usdot-jpo-ode,jpo-geojsonconverter,2024-11-26,4,1
usdot-jpo-ode,jpo-sdw-depositor,2024-11-26,45,1
usdot-jpo-ode,jpo-security-svcs,2024-11-26,46,2
usdot-jpo-ode,jpo-utils,2024-11-26,86,2
usdot-jpo-ode,ode-output-validator-library,2024-11-26,45,1
usdot-jpo-ode,scms-asn1,2024-11-26,1,1
usdot-jpo-ode,asn1_codec,2024-11-27,26,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-27,2,2
usdot-jpo-ode,jpo-conflictvisualizer,2024-11-27,18,5
usdot-jpo-ode,jpo-cvdp,2024-11-27,14,1
usdot-jpo-ode,jpo-geojsonconverter,2024-11-27,5,2
usdot-jpo-ode,jpo-sdw-depositor,2024-11-27,14,1
usdot-jpo-ode,jpo-security-svcs,2024-11-27,14,1
usdot-jpo-ode,jpo-utils,2024-11-27,32,3
usdot-jpo-ode,ode-output-validator-library,2024-11-27,14,1
usdot-jpo-ode,jpo-tim-builder,2024-11-28,1,1
usdot-jpo-ode,jpo-conflictvisualizer,2024-11-29,1,1
usdot-jpo-ode,jpo-conflictmonitor,2024-11-30,4,3
usdot-jpo-ode,jpo-ode,2024-11-30,1,1
usdot-jpo-ode,scms-asn1,2024-11-30,1,1
usdot-jpo-ode,asn1_codec,2024-12-01,1,1
