date,org,repo,forks,stars,commits,collaborators
2025-01-01,usdot-jpo-ode,jpo-ode,45,80,3948,29
2025-01-01,usdot-jpo-ode,jpo-cvdp,11,15,575,12
2025-01-01,usdot-jpo-ode,jpo-s3-deposit,4,4,253,16
2025-01-01,usdot-jpo-ode,jpo-security,3,4,43,4
2025-01-01,usdot-jpo-ode,usdot-jpo-ode.github.io,1,2,17,4
2025-01-01,usdot-jpo-ode,asn1_codec,19,14,433,13
2025-01-01,usdot-jpo-ode,jpo-tim-builder,4,4,65,3
2025-01-01,usdot-jpo-ode,jpo-security-svcs,3,3,139,13
2025-01-01,usdot-jpo-ode,jpo-ode-scms-asn,0,0,332,4
2025-01-01,usdot-jpo-ode,scms-asn1,2,4,4,1
2025-01-01,usdot-jpo-ode,wzdx,62,92,1605,20
2025-01-01,usdot-jpo-ode,jpo-record-parser,0,0,3,2
2025-01-01,usdot-jpo-ode,jpo-sdw-depositor,6,3,234,17
2025-01-01,usdot-jpo-ode,ode-output-validator-library,8,2,216,9
2025-01-01,usdot-jpo-ode,wzdc-tool,0,1,4,3
2025-01-01,usdot-jpo-ode,TDx,1,4,11,2
2025-01-01,usdot-jpo-ode,jpo-geojsonconverter,6,3,344,11
2025-01-01,usdot-jpo-ode,jpo-conflictmonitor,4,0,900,10
2025-01-01,usdot-jpo-ode,jpo-conflictvisualizer,4,0,698,11
2025-01-01,usdot-jpo-ode,jpo-cvmanager,5,2,1094,10
2025-01-01,usdot-jpo-ode,jpo-utils,3,1,87,7
2025-01-01,usdot-jpo-ode,jpo-deposit,0,0,1,1
