Start date,End date,Org,Repo,Referrer,Count,Unique
2025-02-14,2025-02-28,usdot-fhwa-stol,actions,github.com,43,4
2025-02-14,2025-02-28,usdot-fhwa-stol,actions,statics.gov.teams.microsoft.us,9,1
2025-02-14,2025-02-28,usdot-fhwa-stol,actions,usdot-carma.atlassian.net,2,1
2025-02-14,2025-02-28,usdot-fhwa-stol,autoware.auto,Google,5,3
2025-02-14,2025-02-28,usdot-fhwa-stol,autoware.auto,github.com,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,c1t_rplidar_driver,Baidu,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,c1t_vesc_driver,Google,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-1-tenth,Google,3,2
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-analytics-fotda,github.com,13,3
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-analytics-fotda,usdot-carma.atlassian.net,8,1
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-analytics-fotda,Google,6,2
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-analytics-fotda,statics.gov.teams.microsoft.us,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-base,Google,22,4
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-base,github.com,18,4
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-base,usdot-carma.atlassian.net,4,2
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-builds,statics.gov.teams.microsoft.us,36,2
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-builds,github.com,24,4
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-carla-integration,Google,39,3
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-carla-integration,statics.teams.cdn.office.net,3,2
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-carla-integration,chatgpt.com,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-carla-integration,github.com,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-cloud,github.com,7,4
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-cloud,Google,3,3
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-cloud,highways.dot.gov,1,1
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-config,github.com,109,9
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-config,Google,35,5
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-config,statics.teams.cdn.office.net,15,1
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-config,statics.gov.teams.microsoft.us,14,6
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-config,Bing,6,1
2025-02-14,2025-02-28,usdot-fhwa-stol,carma-config,usdot-carma.atlassian.net,5,2
