Start date,End date,Org,Repo,Referrer,Count,Unique
2025-02-28,2025-03-14,usdot-jpo-ode,asn1_codec,github.com,20,5
2025-02-28,2025-03-14,usdot-jpo-ode,asn1_codec,Bing,3,2
2025-02-28,2025-03-14,usdot-jpo-ode,asn1_codec,Google,2,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-asn-pojos,github.com,2,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-conflictmonitor,github.com,121,8
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-conflictmonitor,DuckDuckGo,1,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-conflictvisualizer,github.com,28,6
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-conflictvisualizer,DuckDuckGo,3,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-conflictvisualizer,Google,2,2
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-cvdp,github.com,3,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-cvmanager,Google,30,5
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-cvmanager,iss-confluence.atlassian.net,29,2
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-cvmanager,github.com,25,5
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-cvmanager,bitbucket.org,9,2
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-cvmanager,statics.teams.cdn.office.net,3,3
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-cvmanager,gbc-word-view.officeapps.live.com,2,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-cvmanager,DuckDuckGo,1,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-cvportal,github.com,2,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-deduplicator,github.com,4,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-deduplicator,statics.teams.cdn.office.net,1,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-deduplicator,DuckDuckGo,1,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-geojsonconverter,github.com,21,2
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-geojsonconverter,Google,1,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-geojsonconverter,DuckDuckGo,1,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-ode,Google,58,11
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-ode,github.com,54,16
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-ode,DuckDuckGo,3,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-ode,chatgpt.com,2,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-utils,github.com,35,3
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-utils,Google,1,1
2025-02-28,2025-03-14,usdot-jpo-ode,jpo-utils,DuckDuckGo,1,1
2025-02-28,2025-03-14,usdot-jpo-ode,scms-asn1,Google,13,2
2025-02-28,2025-03-14,usdot-jpo-ode,scms-asn1,claude.ai,1,1
2025-02-28,2025-03-14,usdot-jpo-ode,TDx,Google,22,5
2025-02-28,2025-03-14,usdot-jpo-ode,TDx,Bing,14,5
2025-02-28,2025-03-14,usdot-jpo-ode,TDx,developers.google.com,7,1
2025-02-28,2025-03-14,usdot-jpo-ode,TDx,datahub.transportation.gov,5,1
2025-02-28,2025-03-14,usdot-jpo-ode,TDx,statics.teams.cdn.office.net,4,3
2025-02-28,2025-03-14,usdot-jpo-ode,TDx,github.com,1,1
2025-02-28,2025-03-14,usdot-jpo-ode,wzdx,Google,193,21
2025-02-28,2025-03-14,usdot-jpo-ode,wzdx,chatgpt.com,126,1
2025-02-28,2025-03-14,usdot-jpo-ode,wzdx,transportation.gov,105,42
2025-02-28,2025-03-14,usdot-jpo-ode,wzdx,DuckDuckGo,61,2
2025-02-28,2025-03-14,usdot-jpo-ode,wzdx,Bing,55,4
2025-02-28,2025-03-14,usdot-jpo-ode,wzdx,fhwa.dot.gov,20,8
2025-02-28,2025-03-14,usdot-jpo-ode,wzdx,github.com,17,6
2025-02-28,2025-03-14,usdot-jpo-ode,wzdx,datahub.transportation.gov,15,5
2025-02-28,2025-03-14,usdot-jpo-ode,wzdx,usc-excel.officeapps.live.com,14,1
2025-02-28,2025-03-14,usdot-jpo-ode,wzdx,developers.google.com,10,5
