Org,Repo,Date,Views count,Views unique
usdot-fhwa-OPS,V2X-Hub,2025-04-01,74,21
usdot-fhwa-OPS,pcis-poc,2025-04-01,2,2
usdot-fhwa-OPS,V2X-Hub,2025-04-02,111,15
usdot-fhwa-OPS,pcis-poc,2025-04-02,3,2
usdot-fhwa-OPS,V2X-Hub,2025-04-03,84,14
usdot-fhwa-OPS,pcis-poc,2025-04-03,2,2
usdot-fhwa-OPS,V2X-Hub,2025-04-04,59,27
usdot-fhwa-OPS,pcis-poc,2025-04-04,2,2
usdot-fhwa-OPS,V2X-Hub,2025-04-05,5,3
usdot-fhwa-OPS,V2X-Hub,2025-04-06,55,10
usdot-fhwa-OPS,V2X-Hub,2025-04-07,166,25
usdot-fhwa-OPS,pcis-poc,2025-04-07,3,2
usdot-fhwa-OPS,V2X-Hub,2025-04-08,144,17
usdot-fhwa-OPS,pcis-poc,2025-04-08,2,2
usdot-fhwa-OPS,V2X-Hub,2025-04-09,255,21
usdot-fhwa-OPS,pcis-poc,2025-04-09,1,1
usdot-fhwa-OPS,V2X-Hub,2025-04-10,285,21
usdot-fhwa-OPS,pcis-poc,2025-04-10,3,3
usdot-fhwa-OPS,V2X-Hub,2025-04-11,27,9
usdot-fhwa-OPS,pcis-poc,2025-04-11,2,2
usdot-fhwa-OPS,V2X-Hub,2025-04-12,11,7
usdot-fhwa-OPS,V2X-Hub,2025-04-13,18,12
usdot-fhwa-OPS,V2X-Hub,2025-04-14,69,13
usdot-fhwa-OPS,pcis-poc,2025-04-14,3,1
