Org,Repo,Date,Views count,Views unique
usdot-fhwa-stol,asn1-specification-splitter,2025-04-01,5,2
usdot-fhwa-stol,c2c-mvt,2025-04-01,2,1
usdot-fhwa-stol,carma-analytics-fotda,2025-04-01,20,4
usdot-fhwa-stol,carma-base,2025-04-01,5,1
usdot-fhwa-stol,carma-carla-integration,2025-04-01,11,2
usdot-fhwa-stol,carma-cloud,2025-04-01,1,1
usdot-fhwa-stol,carma-config,2025-04-01,15,2
usdot-fhwa-stol,carma-lightbar-driver,2025-04-01,1,1
usdot-fhwa-stol,carma-messenger,2025-04-01,12,2
usdot-fhwa-stol,carma-msgs,2025-04-01,25,4
usdot-fhwa-stol,carma-platform,2025-04-01,277,20
usdot-fhwa-stol,carma-ssc-interface-wrapper,2025-04-01,6,1
usdot-fhwa-stol,carma-streets,2025-04-01,8,2
usdot-fhwa-stol,carma-time-lib,2025-04-01,4,1
usdot-fhwa-stol,carma-utils,2025-04-01,3,2
usdot-fhwa-stol,carma-web-ui,2025-04-01,8,2
usdot-fhwa-stol,cave-lite,2025-04-01,2,1
usdot-fhwa-stol,cda1tenth-bringup,2025-04-01,1,1
usdot-fhwa-stol,cdasim,2025-04-01,50,8
usdot-fhwa-stol,cdasim-config,2025-04-01,57,4
usdot-fhwa-stol,connectedvcs-tools,2025-04-01,106,10
usdot-fhwa-stol,dwm1001_ros2,2025-04-01,18,3
usdot-fhwa-stol,github_metrics,2025-04-01,1,1
usdot-fhwa-stol,infrastructure-camera-detection-and-tracking,2025-04-01,8,1
usdot-fhwa-stol,j2735decoder,2025-04-01,23,6
usdot-fhwa-stol,multiple_object_tracking,2025-04-01,2,1
usdot-fhwa-stol,udp-time-sync,2025-04-01,5,1
usdot-fhwa-stol,v2x-ros-conversion,2025-04-01,7,2
usdot-fhwa-stol,v2x-ros-driver,2025-04-01,61,6
usdot-fhwa-stol,voices-poc,2025-04-01,13,2
usdot-fhwa-stol,.github,2025-04-02,4,1
usdot-fhwa-stol,asn1-specification-splitter,2025-04-02,7,2
usdot-fhwa-stol,autoware.auto,2025-04-02,38,1
usdot-fhwa-stol,carma-analytics-fotda,2025-04-02,2,1
usdot-fhwa-stol,carma-base,2025-04-02,3,1
usdot-fhwa-stol,carma-carla-integration,2025-04-02,7,1
usdot-fhwa-stol,carma-config,2025-04-02,24,5
usdot-fhwa-stol,carma-messenger,2025-04-02,1,1
usdot-fhwa-stol,carma-msgs,2025-04-02,13,2
usdot-fhwa-stol,carma-platform,2025-04-02,119,17
usdot-fhwa-stol,carma-ssc-interface-wrapper,2025-04-02,15,3
usdot-fhwa-stol,carma-utils,2025-04-02,72,2
usdot-fhwa-stol,carma-web-ui,2025-04-02,7,2
usdot-fhwa-stol,cda1tenth-bringup,2025-04-02,4,2
usdot-fhwa-stol,cdasim,2025-04-02,23,2
usdot-fhwa-stol,cdasim-config,2025-04-02,4,2
usdot-fhwa-stol,connectedvcs-tools,2025-04-02,130,6
usdot-fhwa-stol,dwm1001_ros2,2025-04-02,1,1
usdot-fhwa-stol,j2735decoder,2025-04-02,10,6
usdot-fhwa-stol,navigation2-extensions,2025-04-02,3,2
usdot-fhwa-stol,ns-3_c-v2x,2025-04-02,1,1
usdot-fhwa-stol,v2x-emulator,2025-04-02,6,2
usdot-fhwa-stol,v2x-ros-conversion,2025-04-02,2,1
usdot-fhwa-stol,v2x-ros-driver,2025-04-02,9,2
usdot-fhwa-stol,voices-poc,2025-04-02,75,7
usdot-fhwa-stol,.github,2025-04-03,2,2
usdot-fhwa-stol,actions,2025-04-03,1,1
usdot-fhwa-stol,asn1-specification-splitter,2025-04-03,4,2
usdot-fhwa-stol,carma-analytics-fotda,2025-04-03,9,2
usdot-fhwa-stol,carma-base,2025-04-03,4,1
usdot-fhwa-stol,carma-carla-integration,2025-04-03,6,1
usdot-fhwa-stol,carma-cloud,2025-04-03,3,2
usdot-fhwa-stol,carma-config,2025-04-03,18,4
usdot-fhwa-stol,carma-delphi-esr-driver,2025-04-03,5,2
usdot-fhwa-stol,carma-messenger,2025-04-03,43,4
usdot-fhwa-stol,carma-platform,2025-04-03,140,11
usdot-fhwa-stol,carma-ssc-interface-wrapper,2025-04-03,9,3
usdot-fhwa-stol,carma-streets,2025-04-03,2,2
usdot-fhwa-stol,carma-utils,2025-04-03,3,1
usdot-fhwa-stol,carma-web-ui,2025-04-03,27,3
usdot-fhwa-stol,cdasim,2025-04-03,37,5
