Org,Repo,Date,Views count,Views unique
usdot-jpo-ode,TDx,2024-10-14,35,2
usdot-jpo-ode,asn1_codec,2024-10-14,1,1
usdot-jpo-ode,jpo-conflictmonitor,2024-10-14,10,3
usdot-jpo-ode,jpo-conflictvisualizer,2024-10-14,11,2
usdot-jpo-ode,jpo-cvdp,2024-10-14,1,1
usdot-jpo-ode,jpo-cvmanager,2024-10-14,10,2
usdot-jpo-ode,jpo-geojsonconverter,2024-10-14,2,1
usdot-jpo-ode,jpo-ode,2024-10-14,6,2
usdot-jpo-ode,jpo-utils,2024-10-14,1,1
usdot-jpo-ode,ode-output-validator-library,2024-10-14,1,1
usdot-jpo-ode,wzdx,2024-10-14,25,4
usdot-jpo-ode,TDx,2024-10-15,3,3
usdot-jpo-ode,asn1_codec,2024-10-15,25,2
usdot-jpo-ode,jpo-conflictmonitor,2024-10-15,2,2
usdot-jpo-ode,jpo-conflictvisualizer,2024-10-15,36,2
usdot-jpo-ode,jpo-cvmanager,2024-10-15,9,3
usdot-jpo-ode,jpo-ode,2024-10-15,5,2
usdot-jpo-ode,jpo-utils,2024-10-15,1,1
usdot-jpo-ode,scms-asn1,2024-10-15,2,2
usdot-jpo-ode,wzdx,2024-10-15,131,39
usdot-jpo-ode,TDx,2024-10-16,2,2
usdot-jpo-ode,asn1_codec,2024-10-16,3,1
usdot-jpo-ode,jpo-conflictmonitor,2024-10-16,3,1
usdot-jpo-ode,jpo-conflictvisualizer,2024-10-16,4,1
usdot-jpo-ode,jpo-cvmanager,2024-10-16,4,1
usdot-jpo-ode,jpo-geojsonconverter,2024-10-16,6,1
usdot-jpo-ode,jpo-ode,2024-10-16,9,5
usdot-jpo-ode,jpo-utils,2024-10-16,1,1
usdot-jpo-ode,wzdx,2024-10-16,80,46
usdot-jpo-ode,TDx,2024-10-17,12,4
usdot-jpo-ode,asn1_codec,2024-10-17,4,3
usdot-jpo-ode,jpo-conflictmonitor,2024-10-17,25,3
usdot-jpo-ode,jpo-conflictvisualizer,2024-10-17,14,1
usdot-jpo-ode,jpo-cvmanager,2024-10-17,3,3
usdot-jpo-ode,jpo-geojsonconverter,2024-10-17,1,1
usdot-jpo-ode,jpo-ode,2024-10-17,32,5
usdot-jpo-ode,jpo-security-svcs,2024-10-17,1,1
usdot-jpo-ode,jpo-tim-builder,2024-10-17,1,1
usdot-jpo-ode,ode-output-validator-library,2024-10-17,1,1
usdot-jpo-ode,scms-asn1,2024-10-17,1,1
usdot-jpo-ode,wzdx,2024-10-17,119,32
usdot-jpo-ode,jpo-conflictmonitor,2024-10-18,6,1
usdot-jpo-ode,jpo-conflictvisualizer,2024-10-18,23,2
usdot-jpo-ode,jpo-cvmanager,2024-10-18,2,2
